customer_id,credit_score_fico,total_credit_lines,open_credit_lines,derogatory_public_records,revolving_utilization_rate,credit_history_length_months,inquiries_last_6_months
CUST000215,695,15,9,0,43.73,173,0
CUST001963,675,7,8,0,175.53,34,0
CUST004626,635,7,13,0,32.55,98,0
CUST003152,702,14,3,0,10.17,50,1
CUST004053,638,18,9,2,21.53,104,3
CUST001394,667,24,8,3,43.53,281,0
CUST003428,563,21,10,1,32.36,34,0
CUST003722,688,14,14,1,18.76,214,2
CUST003094,607,20,3,0,25.92,226,0
CUST002086,666,16,12,1,15.92,165,3
CUST004243,680,21,2,2,6.29,91,1
CUST004265,606,15,2,0,11.27,239,0
CUST002140,604,12,8,0,8.06,240,0
CUST000060,644,2,9,1,20.28,176,1
CUST001668,626,18,8,0,43.14,348,0
CUST002368,689,13,8,1,12.91,11,1
CUST002678,668,20,11,0,32.82,249,1
CUST000884,754,23,4,0,48.75,148,1
CUST000226,686,3,5,2,26.96,229,4
CUST001058,706,3,13,3,8.96,341,2
CUST002098,672,8,3,3,4.63,141,1
CUST000875,555,22,8,2,13.77,156,1
CUST003101,670,16,3,0,49.0,276,6
CUST001777,519,14,7,0,25.18,38,4
CUST003782,642,13,6,2,40.35,208,0
CUST002419,725,12,6,0,46.88,254,1
CUST001033,588,12,1,0,22.55,94,0
CUST004735,508,20,13,0,17.79,270,0
CUST004171,619,5,12,0,39.63,294,4
CUST004075,692,2,12,0,170.36,82,0
CUST003130,643,14,12,0,3.91,119,0
CUST003294,575,13,8,0,18.91,158,1
CUST002848,639,4,9,1,12.57,313,1
CUST003333,720,21,4,0,25.37,351,0
CUST000403,653,14,4,1,6.85,288,4
CUST000115,744,15,8,3,20.54,314,0
CUST002873,635,12,13,0,22.95,182,2
CUST002409,559,11,6,0,16.48,67,0
CUST003700,813,6,8,0,17.71,336,0
CUST002069,710,9,7,1,164.44,103,0
CUST000516,787,17,8,0,7.67,103,0
CUST004299,672,6,14,0,72.96,234,1
CUST003876,657,22,4,2,43.63,298,0
CUST001789,793,9,11,1,4.5,14,2
CUST002997,803,4,11,1,18.06,186,0
CUST002361,573,6,2,0,5.98,261,1
CUST004467,630,14,1,0,24.57,317,0
CUST003269,607,14,5,1,36.6,216,1
CUST003551,731,6,10,1,8.51,250,1
CUST004164,618,2,10,0,55.39,198,0
CUST003770,720,17,9,0,47.0,52,3
CUST004665,745,20,8,0,27.42,93,0
CUST004016,829,21,14,1,43.19,298,0
CUST000196,592,11,7,0,35.32,336,0
CUST001307,773,7,1,3,64.56,40,3
CUST004069,661,23,10,1,12.1,166,0
CUST003189,833,17,4,0,46.75,302,0
CUST002196,764,22,11,2,30.14,250,2
CUST003099,756,12,2,3,19.69,183,0
CUST003674,620,3,14,0,21.33,301,1
CUST002638,664,5,9,0,28.77,302,6
CUST002708,712,14,10,0,1.95,122,1
CUST004980,635,6,11,0,7.87,316,1
CUST000290,0,8,14,1,31.05,72,2
CUST001118,824,14,13,1,22.86,299,0
CUST000857,629,23,3,0,25.48,259,0
CUST002909,623,3,13,0,28.09,340,2
