application_id,customer_id,application_date,loan_purpose,amount_requested,term_months,application_status,funnel_stage_reached,interest_rate_offered,dti_ratio
APP0000001,CUST004596,2024-08-25,Major Purchase,20016.84,60,Approved,Disbursed,12.53,1.29
APP0000002,CUST004836,27/10/2023,Debt Consolidation,3421.42,36,Approved,Disbursed,16.9,11.51
APP0000003,CUST003238,2022-08-05,Small Business,11073.17,36,Abandoned In Funnel,Document Verification,,16.14
APP0000004,CUST003380,22/10/2022,Credit Card Refinancing,8672.94,60,Approved,Disbursed,12.0,24.44
APP0000005,CUST003085,2025-12-22,Debt Consolidation,23926.61,60,Approved,Disbursed,27.37,3.45
APP0000006,CUST002665,2022-12-05,Debt Consolidation,53098.82,60,Abandoned In Funnel,Pre-Qualification,,19.91
APP0000007,CUST000951,2022-02-20,Home Improvement,10154.68,36,Approved,Disbursed,9.52,41.92
APP0000008,CUST002709,2022-12-14,Home Improvement,41858.19,60,Rejected,Document Verification,,5.55
APP0000009,CUST001280,2024-11-25,Credit Card Refinancing,17845.57,60,Approved,Disbursed,14.18,8.51
APP0000010,CUST000277,2025-12-29,Home Improvement,9342.92,60,Approved,Disbursed,11.21,
APP0000011,CUST000412,2025-10-18,Credit Card Refinancing,13720.51,60,Rejected,Document Verification,,25.59
APP0000012,CUST001235,2023-10-28,Major Purchase,12689.58,36,Approved,Disbursed,17.09,8.77
APP0000013,CUST000495,2022-10-14,Major Purchase,25518.35,36,Abandoned In Funnel,Pre-Qualification,,18.82
APP0000014,CUST004178,2022-05-10,Home Improvement,3503.61,60,Rejected,Risk Assessment,,19.53
APP0000015,CUST000645,2024-06-29,Credit Card Refinancing,15555.57,60,Abandoned In Funnel,Pre-Qualification,,6.22
APP0000016,CUST004759,2022-09-08,Debt Consolidation,35170.73,36,Approved,Disbursed,10.74,23.27
APP0000017,CUST001367,2023-11-02,Credit Card Refinancing,21810.49,60,Approved,Disbursed,19.39,7.71
APP0000018,CUST004736,30/01/2022,Credit Card Refinancing,13570.21,60,Approved,Disbursed,20.41,2.79
APP0000019,CUST002152,2025-04-13,Home Improvement,17075.67,36,Abandoned In Funnel,Document Verification,,
APP0000020,CUST002484,2024-08-24,Home Improvement,10660.54,60,Rejected,Pre-Qualification,,4.23
APP0000021,CUST000925,05/07/2023,Home Improvement,13910.09,60,Rejected,Risk Assessment,,10.27
APP0000022,CUST003917,30/04/2024,Credit Card Refinancing,20059.45,60,Rejected,Document Verification,,16.87
APP0000023,CUST002139,2025-09-01,Credit Card Refinancing,11119.41,36,Abandoned In Funnel,Pre-Qualification,,18.86
APP0000024,CUST001041,2023-05-02,Home Improvement,5150.73,36,Rejected,Document Verification,,1.71
APP0000025,CUST002226,2023-11-01,Small Business,4492.73,36,Rejected,Risk Assessment,,
APP0000026,CUST001219,26/08/2022,Major Purchase,19215.3,60,Approved,Disbursed,16.25,7.16
APP0000027,CUST002797,2024-04-12,Credit Card Refinancing,14479.43,36,Approved,Disbursed,27.23,
APP0000028,CUST003052,2024-07-06,Debt Consolidation,24022.55,60,Approved,Disbursed,7.4,28.01
APP0000029,CUST001793,2025-09-24,Debt Consolidation,7810.79,36,Abandoned In Funnel,Pre-Qualification,,10.42
APP0000030,CUST001090,2024-02-07,Major Purchase,6145.17,36,Approved,Disbursed,6.88,17.72
APP0000031,CUST003124,2022-07-28,Home Improvement,23558.64,60,Approved,Disbursed,25.81,
APP0000032,CUST004835,2025-08-20,Credit Card Refinancing,16544.52,60,Approved,Disbursed,16.57,14.98
APP0000033,CUST002257,2024-04-14,Home Improvement,10053.32,60,Approved,Disbursed,6.63,
APP0000034,CUST001290,2025-09-26,Credit Card Refinancing,12160.2,36,Abandoned In Funnel,Document Verification,,24.85
APP0000035,CUST004178,2023-06-29,Home Improvement,7741.16,36,Approved,Disbursed,7.23,10.89
APP0000036,CUST001639,2022-11-06,Small Business,23608.71,36,Rejected,Risk Assessment,,29.87
APP0000037,CUST000314,20/04/2024,Debt Consolidation,15388.8,36,Abandoned In Funnel,Document Verification,,15.4
APP0000038,CUST004037,2024-03-02,Major Purchase,14602.39,60,Abandoned In Funnel,Document Verification,,10.36
APP0000039,CUST000198,01/03/2022,Credit Card Refinancing,21897.61,36,Abandoned In Funnel,Document Verification,,12.14
APP0000040,CUST003258,15/04/2024,Debt Consolidation,8824.92,60,Rejected,Risk Assessment,,6.02
APP0000041,CUST003615,2022-11-07,Home Improvement,40944.76,60,Approved,Disbursed,12.07,
APP0000042,CUST002212,2023-09-18,Home Improvement,5526.02,36,Approved,Disbursed,9.84,4.42
APP0000043,CUST003342,21/07/2023,Major Purchase,11395.03,60,Abandoned In Funnel,Document Verification,,39.5
APP0000044,CUST001107,2023-10-05,Debt Consolidation,40231.56,60,Rejected,Document Verification,,5.9
APP0000045,CUST000202,2024-03-30,Home Improvement,13408.58,36,Approved,Disbursed,22.34,18.2
APP0000046,CUST002647,2025-08-10,Credit Card Refinancing,11059.67,60,Approved,Disbursed,17.06,13.07
APP0000047,CUST002184,2022-06-28,Debt Consolidation,13242.32,36,Approved,Disbursed,21.69,11.79
APP0000048,CUST002264,2024-11-27,Debt Consolidation,30083.96,60,Approved,Disbursed,11.43,12.27
APP0000049,CUST003163,2023-10-25,Credit Card Refinancing,8584.63,60,Rejected,Document Verification,,2.58
APP0000050,CUST001952,2023-06-24,Debt Consolidation,9958.15,60,Rejected,Risk Assessment,,33.31
APP0000051,CUST001067,2022-12-11,Debt Consolidation,22086.69,60,Approved,Disbursed,21.87,24.14
APP0000052,CUST002718,2022-02-06,Home Improvement,10742.16,60,Rejected,Document Verification,,16.17
APP0000053,CUST000250,2025-02-21,Debt Consolidation,6340.0,36,Approved,Disbursed,15.79,10.56
APP0000054,CUST004050,14/12/2023,Debt Consolidation,12955.26,36,Rejected,Risk Assessment,,
APP0000055,CUST000589,2023-02-06,Debt Consolidation,6947.98,60,Approved,Disbursed,21.84,10.27
APP0000056,CUST001877,2022-03-30,Credit Card Refinancing,14161.1,36,Approved,Disbursed,7.95,5.82
APP0000057,CUST002685,2023-03-11,Debt Consolidation,10390.03,36,Approved,Disbursed,8.29,22.63
APP0000058,CUST001228,2022-12-30,Credit Card Refinancing,12307.15,36,Abandoned In Funnel,Document Verification,,16.7
APP0000059,CUST004944,27/02/2023,Debt Consolidation,8655.32,36,Approved,Disbursed,14.39,17.85
APP0000060,CUST002876,2022-08-20,Debt Consolidation,23470.18,36,Approved,Disbursed,19.54,11.56
APP0000061,CUST002314,2024-05-11,Small Business,16256.82,60,Rejected,Risk Assessment,,5.78
APP0000062,CUST000785,2024-11-30,Credit Card Refinancing,12245.82,36,Approved,Disbursed,13.97,7.42
APP0000063,CUST000915,2022-06-11,Debt Consolidation,8656.48,60,Abandoned In Funnel,Final Offer,,6.21
APP0000064,CUST003776,2022-05-07,Debt Consolidation,9886.82,36,Approved,Disbursed,9.41,15.63
APP0000065,CUST004270,2023-05-20,Debt Consolidation,10315.43,60,Approved,Disbursed,15.6,24.73
APP0000066,CUST004795,2022-05-20,Credit Card Refinancing,10781.84,36,Approved,Disbursed,12.6,17.95
APP0000067,CUST001912,17/05/2025,Debt Consolidation,21479.46,36,Rejected,Document Verification,,6.71
APP0000068,CUST002431,2023-04-08,Major Purchase,7437.98,60,Rejected,Pre-Qualification,,34.36
APP0000069,CUST004050,2025-01-19,Home Improvement,12114.13,36,Approved,Disbursed,24.26,4.15
APP0000070,CUST002693,2025-01-14,Debt Consolidation,12338.04,36,Approved,Disbursed,11.44,12.53
APP0000071,CUST000063,09/06/2022,Credit Card Refinancing,24201.16,36,Approved,Disbursed,13.43,3.35
APP0000072,CUST004892,2024-05-06,Debt Consolidation,26977.4,60,Rejected,Document Verification,,37.95
