transaction_id,loan_id,payment_date,payment_amount_due,payment_amount_received,payment_method,payment_status
TXN00000001,LOAN0002833,2023-04-22,1098.62,1087.88,Auto-Pay,Success
TXN00000002,LOAN0002026,2023-06-17,242.43,246.3,Credit Card,Success
TXN00000003,LOAN0003667,2022-09-09,415.81,413.39,Auto-Pay,Success
TXN00000004,LOAN0003272,2024-03-19,1052.11,1008.24,Auto-Pay,Success
TXN00000005,LOAN0002918,16/05/2023,948.29,0.0,Auto-Pay,Bounced/NSF
TXN00000006,LOAN0001439,2023-07-06,751.54,737.41,Credit Card,Success
TXN00000007,LOAN0005777,08/12/2024,476.03,474.99,Credit Card,Success
TXN00000008,LOAN0000427,2024-02-18,1058.77,1101.09,Manual Check,Success
TXN00000009,LOAN0002870,2023-08-19,1538.57,1496.28,Manual Check,Success
TXN00000010,LOAN0005769,2023-09-10,1349.06,0.0,ACH,Bounced/NSF
TXN00000011,LOAN0002954,2024-03-10,1045.27,994.23,Auto-Pay,Success
TXN00000012,LOAN0006382,2025-04-07,1974.63,1958.97,Auto-Pay,Success
TXN00000013,LOAN0000034,27/12/2023,1459.28,1466.15,Credit Card,Success
TXN00000014,LOAN0003588,2025-06-06,392.96,381.4,Credit Card,Success
TXN00000015,LOAN0000356,2022-04-18,1283.18,1245.05,Auto-Pay,Success
TXN00000016,LOAN0000961,2023-07-23,1990.53,2050.11,ACH,Success
TXN00000017,LOAN0008146,2025-06-18,673.28,651.98,ACH,Success
TXN00000018,LOAN0004314,2025-01-21,1311.65,1296.33,ACH,Success
TXN00000019,LOAN0000856,2024-12-10,344.29,0.0,ACH,Bounced/NSF
TXN00000020,LOAN0001620,14/12/2024,876.41,895.84,Auto-Pay,Success
TXN00000021,LOAN0001931,2023-09-26,704.19,701.42,ACH,Success
TXN00000022,LOAN0003478,2025-12-11,1579.69,1607.79,ACH,Success
TXN00000023,LOAN0006720,2024-03-29,1089.26,1119.61,ACH,Success
TXN00000024,LOAN0005719,2022-06-12,1977.9,1994.03,Auto-Pay,Success
TXN00000025,LOAN0003195,2025-08-25,269.57,260.99,ACH,Success
TXN00000026,LOAN0005387,2023-03-15,1902.85,1859.51,Auto-Pay,Success
TXN00000027,LOAN0002655,2024-02-17,1081.18,0.0,Auto-Pay,Bounced/NSF
TXN00000028,LOAN0004829,2024-02-22,1141.25,0.0,Credit Card,Bounced/NSF
TXN00000029,LOAN0003450,2024-10-08,479.52,493.4,ACH,Success
TXN00000030,LOAN0005898,2023-05-24,1176.45,1189.98,ACH,Success
TXN00000031,LOAN0002996,2023-03-15,449.47,0.0,ACH,Bounced/NSF
TXN00000032,LOAN0006244,2024-06-25,511.83,0.0,Auto-Pay,Failed
TXN00000033,LOAN0000817,2025-10-17,1772.65,0.0,Auto-Pay,Bounced/NSF
TXN00000034,LOAN0000923,2024-10-07,727.02,712.32,Auto-Pay,Success
TXN00000035,LOAN0003289,2025-04-04,1163.78,1196.69,Manual Check,Success
TXN00000036,LOAN0001540,2025-08-21,1254.75,1260.63,ACH,Success
TXN00000037,LOAN0005152,2023-12-04,776.81,771.58,Auto-Pay,Success
TXN00000038,LOAN0005741,2023-09-29,519.62,508.39,ACH,Success
TXN00000039,LOAN0004363,2022-12-27,263.96,276.78,Auto-Pay,Success
TXN00000040,LOAN0002978,2024-12-14,1919.03,1829.66,ACH,Success
TXN00000041,LOAN0000415,08/09/2024,1081.8,1040.68,ACH,Success
